lagsnavn,orgnr,kommune,fylke,adresse,postnummer,poststed,nettstad,kjelde_type,kjelde_url,henta_dato
H & L NÆRINGSBYGG AS,933032167,FREDRIKSTAD,Østfold,Produksjonsveien 7,1618,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933032167,2026-04-27
HAGEHJELP UNGDOMSBEDRIFT,936965326,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936965326,2026-04-27
HENRIK L RAAGAARD,970952918,FREDRIKSTAD,Østfold,"Rå, Råkollveien 4",1663,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/970952918,2026-04-27
HYDRATE & HEAL UNGDOMSBEDRIFT,937184867,FREDRIKSTAD,Østfold,"Hans Nielsen Hauge videregående, skole, Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937184867,2026-04-27
HYPE MARKETING UNGDOMSBEDRIFT,936543081,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Merkurveien 2",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936543081,2026-04-27
ICEY UNGDOMSBEDRIFT,936575072,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Merkurveien 2",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936575072,2026-04-27
INDUSTRI INNOVASJON L. CHRISTIAN LIED,929036980,FREDRIKSTAD,Østfold,"Leilighet A0902, Mosseveien 71",1610,FREDRIKSTAD,https://www.facebook.com/groups/1029765004561494,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929036980,2026-04-27
INGER ELISABETH L SKAARET,870026722,FREDRIKSTAD,Østfold,O.J.Moums vei 28A,1657,TORP,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/870026722,2026-04-27
INNHOLDSLAGET UNGDOMSBEDRIFT,936556868,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936556868,2026-04-27
JUBILO UNGDOMSBEDRIFT,936602002,FREDRIKSTAD,Østfold,"Hans Nielsen Hauge vgs., Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936602002,2026-04-27
K B L ARMERING ØSTFOLD ANS,962218822,FREDRIKSTAD,Østfold,Glomboveien 2A,1678,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/962218822,2026-04-27
KNIPS UNGDOMSBEDRIFT,936437427,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936437427,2026-04-27
KRÅKERØY UNGDOMSKLUBB,917671567,FREDRIKSTAD,Østfold,"c/o Nathalie Larsen Kristiansen, Bergstien 3",1673,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917671567,2026-04-27
KRÅKERØY UNGDOMSSKOLE FAU,922976260,FREDRIKSTAD,Østfold,Enhuusveien 44,1679,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922976260,2026-04-27
L & L HOLDING AS,935382084,FREDRIKSTAD,Østfold,Samvirkeveien 1,1661,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935382084,2026-04-27
L & R APOLINAR INSPIRED JEWELS AND ACCESSORIES,927287536,FREDRIKSTAD,Østfold,Aslaugsvei 4,1653,SELLEBAKK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927287536,2026-04-27
L BERGLUND,930724823,FREDRIKSTAD,Østfold,"c/o Lena Berglund, Unnebergveien 22",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930724823,2026-04-27
L&M EIENDOM AS,934348001,FREDRIKSTAD,Østfold,Månestien 6,1639,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/934348001,2026-04-27
L. JORAMO CONSULTING,927232723,FREDRIKSTAD,Østfold,Flåtavikveien 35,1628,ENGELSVIKEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927232723,2026-04-27
LAGOM ULF AXELSSON,914787742,FREDRIKSTAD,Østfold,Skogløkken 20,1605,FREDRIKSTAD,https://www.lagom.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/914787742,2026-04-27
LIKE-NEW UNGDOMSBEDRIFT,936457959,FREDRIKSTAD,Østfold,"Glemmen videregående skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936457959,2026-04-27
LIORA UNGDOMSBEDRIFT,936388140,FREDRIKSTAD,Østfold,"Glemmen videregånde skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936388140,2026-04-27
LYKKESPIREN M. L. HANSEN,912769550,FREDRIKSTAD,Østfold,Husebyveien 15,1623,GRESSVIK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912769550,2026-04-27
LYNX DESIGN UNGDOMSBEDRIFT,936651968,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Merkurveien 2",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936651968,2026-04-27
L`GURD PARFYMERI IBRAHIM,935992664,FREDRIKSTAD,Østfold,Krossveien 3,1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/935992664,2026-04-27
LØFT UNGDOMSBEDRIFT,836520432,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/836520432,2026-04-27
MAIMY UNGDOMSBEDRIFT,936387640,FREDRIKSTAD,Østfold,"Glemmen videregående skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936387640,2026-04-27
MEKKEN UNGDOMSBEDRIFT,936078168,FREDRIKSTAD,Østfold,"Glemmen videregående skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936078168,2026-04-27
MENTAL HELSE UNGDOM FREDRIKSTAD,927970007,FREDRIKSTAD,Østfold,"c/o Jonas Benning Ziyar, Skjellveien 4",1619,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927970007,2026-04-27
MIDAS UNGDOMSBEDRIFT,936626653,FREDRIKSTAD,Østfold,"Plus skolen, Færgeportgaten 77",1632,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936626653,2026-04-27
MIDTBYGDA GRENDELAG,921310854,FREDRIKSTAD,Østfold,"c/o Tommy Husebye, Kjenneveien 24",1623,GRESSVIK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/921310854,2026-04-27
MIKST UNGDOMSBEDRIFT,936556396,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936556396,2026-04-27
N Ø R D UNGDOMSBEDRIFT,936249930,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Merkurveien 2",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936249930,2026-04-27
NOVA MEDIA UNGDOMSBEDRIFT,936629091,FREDRIKSTAD,Østfold,"Frederik ii videregående skole, Merkurveien 2",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936629091,2026-04-27
NOVABAG UNGDOMSBEDRIFT,936688179,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Fredrikstad, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936688179,2026-04-27
ONSØY BYGDEKVINNELAG,911728222,FREDRIKSTAD,Østfold,"C/o June G. Vallestrand, Vallestrandveien 8",1626,MANSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/911728222,2026-04-27
PINGPOST UNGDOMSBEDRIFT,936590357,FREDRIKSTAD,Østfold,"Glemmen videregående skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936590357,2026-04-27
PLANORAMA UNGDOMSBEDRIFT,936930573,FREDRIKSTAD,Østfold,"Akademiet Vidergående Skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936930573,2026-04-27
PLUS LÆR UNGDOMSBEDRIFT,936396380,FREDRIKSTAD,Østfold,"Plus-Skolen, Færgeportgaten 77",1632,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936396380,2026-04-27
Prestegårdskogen Borettslag A/L,946553883,FREDRIKSTAD,Østfold,"c/o Obos Østfold, Storgata 5",1607,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/946553883,2026-04-27
PÅ LOFTET UNGDOMSBEDRIFT,936875939,FREDRIKSTAD,Østfold,"Glemmen videregående skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936875939,2026-04-27
REBORN UNGDOMSBEDRIFT,932395541,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Veumveien 18",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932395541,2026-04-27
RECRISP UNGDOMSBEDRIFT,936319262,FREDRIKSTAD,Østfold,"Hans Nilsen Hauge Videregående, Skole, Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936319262,2026-04-27
REGIONALT UNGDOMSKOR SØR-AUST,821563712,FREDRIKSTAD,Østfold,Riisløkka 32A,1614,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/821563712,2026-04-27
ROLVSØY BYGDE SERVICE DA,992215739,FREDRIKSTAD,Østfold,Rostadveien 38,1667,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992215739,2026-04-27
ROLVSØY BYGDEKVINNELAG,913056221,FREDRIKSTAD,Østfold,"c/o Bjørg Lisbeth Løkke, Ringstadbakken 6",1667,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913056221,2026-04-27
RØRLEGGERMESTER THORVALDSEN CONSULTING ULF THORVALDSEN,929331222,FREDRIKSTAD,Østfold,Riverside 20,1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929331222,2026-04-27
SAFEY UNGDOMSBEDRIFT,936467091,FREDRIKSTAD,Østfold,"Hans Nielsen Hauge vgs., Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936467091,2026-04-27
SAGA OMSORG BJØRN TOMMY GRINDEN,922977801,FREDRIKSTAD,Østfold,Strandbuen 7A,1676,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/922977801,2026-04-27
SAGA TRADISJONSHÅNDVERK UNGDOMSBEDRIFT,836169972,FREDRIKSTAD,Østfold,"Plus-skolen AS, Færgeportgaten 77",1632,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/836169972,2026-04-27
SEIERSMAT UNGDOMSBEDRIFT,936242928,FREDRIKSTAD,Østfold,"Seiersborg videregående skole, Soliveien 56",1666,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936242928,2026-04-27
SKOGBRYNET GRENDELAG,812628062,FREDRIKSTAD,Østfold,"c/o Øyvind Ringstad, Skogbrynet 1",1615,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/812628062,2026-04-27
SKOLECOIN UNGDOMSBEDRIFT,936250076,FREDRIKSTAD,Østfold,"Frederik II Videregående Skole, Cicignongata 19",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936250076,2026-04-27
SOLBUKTA UNGDOMSSENTER,929941403,FREDRIKSTAD,Østfold,Solbuktaveien 33,1622,GRESSVIK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929941403,2026-04-27
SPEAKUP - UNGDOMSBEDRIFT,936319378,FREDRIKSTAD,Østfold,"Hans Nielsen Hauge vgs., Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936319378,2026-04-27
STIFTELSEN FREDRIKSTAD UNGDOMSBOLIGER,954008487,FREDRIKSTAD,Østfold,"c/o OBOS Østfold, Storgata 5",1607,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/954008487,2026-04-27
STIFTELSEN NYLENDE GRENDEHUS,991434976,FREDRIKSTAD,Østfold,Ringstadbakken 1,1667,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/991434976,2026-04-27
TAVARO MILANO UNGDOMSBEDRIFT,936502040,FREDRIKSTAD,Østfold,"Akademiet vidergående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936502040,2026-04-27
TOO GOOD TO WASTE UNGDOMSBEDRIFT,936426379,FREDRIKSTAD,Østfold,"Hans Nielsen Hauge videregående, skole, Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936426379,2026-04-27
TOR ARNE ULFENG SENIORKONSULENT,916587872,FREDRIKSTAD,Østfold,Myrvollveien 22,1622,GRESSVIK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916587872,2026-04-27
TORSNES BARNE- OG UNGDOMSKOR,993956392,FREDRIKSTAD,Østfold,Torsnes Kirke,1634,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/993956392,2026-04-27
TORSNES BYGDEKVINNELAG,916276400,FREDRIKSTAD,Østfold,,1634,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916276400,2026-04-27
TOTESY UNGDOMSBEDRIFT,936387578,FREDRIKSTAD,Østfold,"Glemmen Videregående Skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936387578,2026-04-27
TRINE ULFENG,988487562,FREDRIKSTAD,Østfold,Gamle Kirkevei 53E,1617,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/988487562,2026-04-27
TRYGGERE UNGDOM NEDRE GLOMMA,930593265,FREDRIKSTAD,Østfold,"c/o Ingerid Martinsen, Lisleby allé 70A",1619,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/930593265,2026-04-27
TRYGGSIP UNGDOMSBEDRIFT,936646565,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Merkurveien 2",1613,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936646565,2026-04-27
TRYKK IT UNGDOMSBEDRIFT,936170188,FREDRIKSTAD,Østfold,"Seiersborg videregående skole, Soliveien 56",1666,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936170188,2026-04-27
Toppen Borettslag A/L,947673106,FREDRIKSTAD,Østfold,"c/o OBOS Østfold, Storgata 5",1607,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/947673106,2026-04-27
ULF HELLIKSEN HOLDING AS,927511614,FREDRIKSTAD,Østfold,Hans Nielsen Hauges vei 77,1661,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927511614,2026-04-27
ULF KNUDSEN MEDIA,928554163,FREDRIKSTAD,Østfold,Solbergbakken 2,1672,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/928554163,2026-04-27
ULF MORTEN DAVIDSEN,981930487,FREDRIKSTAD,Østfold,Sportsveien 8A,1604,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/981930487,2026-04-27
ULFENG GÅRD,990809534,FREDRIKSTAD,Østfold,Torsnesveien 110,1634,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/990809534,2026-04-27
ULFENG VANN OG AVLØPSLAG SA,916700490,FREDRIKSTAD,Østfold,Torsnesveien 118,1634,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916700490,2026-04-27
ULFENG ØYEVETERINÆR,928105547,FREDRIKSTAD,Østfold,Smedskaret 18,1672,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/928105547,2026-04-27
ULLA KÄLL,986095535,FREDRIKSTAD,Østfold,Kringsjå 10,1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/986095535,2026-04-27
ULLERUD RAGNAR,969859769,FREDRIKSTAD,Østfold,Østensens vei 6,1619,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/969859769,2026-04-27
ULLERØY UTVIKLING AS,920849474,FREDRIKSTAD,Østfold,Dikeveien 46,1661,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/920849474,2026-04-27
UNGDOM MOT ALKOHOLISME,917509875,FREDRIKSTAD,Østfold,"c/o Rory Thomas Plunkett, Sletteveien 28",1617,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917509875,2026-04-27
UNGDOMMENS MUSIKKFORENING,992498161,FREDRIKSTAD,Østfold,"c/o Jon Harald Bjørnson, Svingen 4",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992498161,2026-04-27
UNGDOMSKORET CANTO,912375005,FREDRIKSTAD,Østfold,"Rolvsøy menighet, Kirkeveien 50",1666,ROLVSØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/912375005,2026-04-27
V-L INVEST AS,915933262,FREDRIKSTAD,Østfold,Speiderveien 15,1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915933262,2026-04-27
VELORA UNGDOMSBEDRIFT,936678963,FREDRIKSTAD,Østfold,"Akademiet videregående skole, Stadion 13",1671,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936678963,2026-04-27
VESTBYGDA BARNE -OG UNGDOMSKOR,916633823,FREDRIKSTAD,Østfold,"c/o Morten Gjerløw Larsen, Johnseveien 7",1628,ENGELSVIKEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916633823,2026-04-27
VIKTORIA SOFIE GRUNDT-ILEBY,927967863,FREDRIKSTAD,Østfold,Anton Davidsens vei 1A,1678,KRÅKERØY,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927967863,2026-04-27
VINDELEKA BARNE- OG UNGDOMSTEATER,891152272,FREDRIKSTAD,Østfold,"St. Croix huset, St.Croix gate 16",1607,FREDRIKSTAD,https://www.vindeleka.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/891152272,2026-04-27
VISPEN GRENDEHUS SA,913733940,FREDRIKSTAD,Østfold,Haldenveien 130,1655,SELLEBAKK,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/913733940,2026-04-27
VITANOVA UNGDOMSBEDRIFT,936253512,FREDRIKSTAD,Østfold,"Hans Nielsen Hauge, videregående skole, Nygaardsgata 33A",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936253512,2026-04-27
VOLT UNGDOMSBEDRIFT,836533542,FREDRIKSTAD,Østfold,"Glemmen Videregående Skole, Traraveien 13",1605,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/836533542,2026-04-27
WOOD TUBE UNGDOMSBEDRIFT,936436781,FREDRIKSTAD,Østfold,"Pluss Skolen AS, Færgeportgaten 77",1632,GAMLE FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936436781,2026-04-27
ZENSORY UNGDOMSBEDRIFT,936894097,FREDRIKSTAD,Østfold,"Frederik II videregående skole, Cicignongata 21",1606,FREDRIKSTAD,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936894097,2026-04-27
"A-KLASSEN, RISUM UNGDOMSSKOLE, 2025-2028",937278918,HALDEN,Østfold,"c/o Knut Volden, Sommerroåsen 14",1793,TISTEDAL,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/937278918,2026-04-27
AARNES INGEBJØRG L,969386895,HALDEN,Østfold,Bokerødveien 604,1796,KORNSJØ,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/969386895,2026-04-27
ALLSANG PÅ GRENSEN AS,916785585,HALDEN,Østfold,Storgata 2A,1767,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/916785585,2026-04-27
B/L BOCKRAMLØKKA,948530155,HALDEN,Østfold,"v/Halden Boligbyggelag, Niels Stubs gate 6",1776,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/948530155,2026-04-27
BERG BYGDEKVINNELAG,915205410,HALDEN,Østfold,Nordbyveien 252,1763,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/915205410,2026-04-27
BILDOKTOREN UNGDOMSBEDRIFT,936051286,HALDEN,Østfold,"Halden videregående skole, Porsnesbakken 12",1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936051286,2026-04-27
BRAATHEN UNGDOMSBEDRIFT,936201164,HALDEN,Østfold,"Halden videregående skole, Porsnesbakken 12",1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936201164,2026-04-27
BYGDEBORG INVEST AS,982565057,HALDEN,Østfold,Repslagergata 8,1776,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/982565057,2026-04-27
BYGDEBORG VELFORENING,929987454,HALDEN,Østfold,"c/o Annette Skredderstuen, Nordliveien 2",1793,TISTEDAL,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/929987454,2026-04-27
BYGDEKORET,933426130,HALDEN,Østfold,"c/o Rachel Lørum, Bokerødveien 461",1796,KORNSJØ,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933426130,2026-04-27
BYR UNGDOMSBEDRIFT,936160328,HALDEN,Østfold,"Halden videregående skole, Porsnesbakken 12",1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936160328,2026-04-27
ELEVLAGD UNGDOMSBEDRIFT,936257364,HALDEN,Østfold,"Halden videregående skole, Porsnesbakken 12",1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936257364,2026-04-27
FAU RISUM UNGDOMSSKOLE,917076898,HALDEN,Østfold,"C/O Øivind Buer, Skriverøveien 215",1765,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/917076898,2026-04-27
FAU STRUPE UNGDOMSSKOLE HALDEN,932713543,HALDEN,Østfold,Brattliveien 13,1779,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/932713543,2026-04-27
FRUTZY UNGDOMSBEDRIFT,936200974,HALDEN,Østfold,"Halden videregående skole, Porsnesbakken 12",1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936200974,2026-04-27
GRAND BAR AS,924749083,HALDEN,Østfold,Jernbanetorget 1,1767,HALDEN,https://grandhotelhalden.no/,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/924749083,2026-04-27
GRENSA AS,933741060,HALDEN,Østfold,Brødenveien 31,1763,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/933741060,2026-04-27
GRENSEN ADVOKATER AS,931139037,HALDEN,Østfold,Skippergata 10,1767,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931139037,2026-04-27
GRENSEN DISCGOLF AS,926998692,HALDEN,Østfold,Brødenveien 50,1763,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/926998692,2026-04-27
GRENSEN EIENDOMSUTVIKLING AS,994480006,HALDEN,Østfold,Peder Ankers gate 18,1771,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/994480006,2026-04-27
GRENSEN FYSIOTERAPI AS,914146070,HALDEN,Østfold,Lerdalveien 25,1779,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/914146070,2026-04-27
GRENSETRYKK UNGDOMSBEDRIFT,936199003,HALDEN,Østfold,"Halden videregående skole, Porsnesbakken 12",1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/936199003,2026-04-27
GRINDA BILDELER AS,812505572,HALDEN,Østfold,Øbergveien 42,1793,TISTEDAL,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/812505572,2026-04-27
GRINDA BOLIG AS,925590096,HALDEN,Østfold,Svinesundsveien 336,1788,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925590096,2026-04-27
GRINDA BORETTSLAG,923071695,HALDEN,Østfold,"v/ Halden Boligbyggelag, Niels Stubs gate 6",1776,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/923071695,2026-04-27
GRÅ MUS DESIGN BY L. H. D. JENSEN,927949709,HALDEN,Østfold,"c/o Liss-Hege Dahl Jensen, Wærns gate 20",1778,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927949709,2026-04-27
HALDEN BARNE- OG UNGDOMSKOR,925559156,HALDEN,Østfold,"4. etg, Os allé 13",1777,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/925559156,2026-04-27
HALDEN SOMALISK UNGDOMSKLUBB,992018771,HALDEN,Østfold,Nystredet 10,1772,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/992018771,2026-04-27
HUS OG HAGE BULJUBASIC,931699253,HALDEN,Østfold,Rødsbergs plass 2,1771,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/931699253,2026-04-27
IDD BYGDEHUS SA,999632866,HALDEN,Østfold,Iddefjordsveien 102,1765,HALDEN,https://idd.no/iddbygdehus,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/999632866,2026-04-27
IDD OG ENNINGDALEN BYGDEKVINNELAG,871247072,HALDEN,Østfold,Folkeseth Øvre,1765,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/871247072,2026-04-27
JENSENS BYGDEKAFEEN PÅ KNATTEN.,927525887,HALDEN,Østfold,"c/o Petter Signebøen, Enningdalsveien 435",1765,HALDEN,,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/927525887,2026-04-27
KLATRING PÅ GRENSEN AS,911592088,HALDEN,Østfold,"Ekås, Nygårdsgata 174",1789,BERG I ØSTFOLD,https://www.klatringpagrensen.no,brreg,https://data.brreg.no/enhetsregisteret/oppslag/enheter/911592088,2026-04-27
